"I pity the fool who doesn't use burn bot to roast their enemies!" - Wesley
"gG" - Murkya
"lel" - crappyrules
"<:t_wojak:414195596912754688>" - Zpalmtree
"i haven't eaten any biscuits in two days ok" - Zpalmtree
"did u do ur neck today bro" - Murkya
"just go up to her and flex ur neck" - Murkya
"Did u lads hit neck today?" - Murkya
"now do 100 neck curls" - Murkya
"One day ur neck will be so big" - Murkya
"lets all do neck curls in unison bruhs" - Murkya
"i hope u measured ur neck b4 u started the neck curls" - Murkya
"ive been doing neck curls daily for a monh and i added an inch to my neck" - Murkya
"she saw u got those neck gains" - Murkya
"did u do ur necks-ercise today?" - Murkya
"Bamboozle = Banboozle" - Madk
